Name,Description,Price1,Price2,Image
Austral,Cerveza Calafate Ale ( 4 Botellas 330cc c/u),$5.390,$ Precio x L : $16.333,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304289a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Becker,Pack Cerveza Lager,$3.890,$ Precio x Un : $486,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/941564a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Royal Guard,Pack Cerveza Lager (12 Latas 350cc c/u),$8.290,$ Precio x L : $23.686,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/704136a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Mahou,Mahou Sin Alcohol,$3.350,$ Precio x L : $13.400,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/804716a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Dolbek,Cerveza Artesanal Maqui Botella,$1.590,$ Precio x L : $4.818,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/769858a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Grolsch,Pack Cerveza Premium Larger,$2.990,$ Precio x Un : $498,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/289823a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kunstmann,Cerveza Barril Torobayo,$13.990,$ Precio x L : $2.798,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/276374a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kunstmann,Cerveza Sin Alcohol,$1.690,$ Precio x L : $5.121,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/288999a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Schofferhofer,Cerveza de Pomelo Lata,$1.190,$ Precio x L : $2.380,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/740892a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Lemon Stones,Pack Cerveza Sabor Limón (6 Latas de 350 cc c/u),$4.190,$ Precio x Un : $698,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304171a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kross,Pack Cerveza Golden Pale Ale,$4.990,$ Precio x L : $15.121,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/274744a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Mahou,Sin Alcohol,$690,$ Precio x L : $2.091,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/804712a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Austral,Pack Cerveza Lager,$4.590,$ Precio x L : $13.909,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/332800a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Budweiser,Pack Cerveza Lager,$4.990,$ Precio x Un : $832,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/304209a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cristal,Pack Cerveza Cero Sin Alcohol,$4.490,$ Precio x Un : $748,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/489244a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kunstmann,Cerveza Arándano,$1.650,$ Precio x L : $5.000,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/445204a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cristal,Pack Cerveza Lager,$6.090,$ Precio x Un : $508,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/312203a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Heineken,Pack Cervezas Sin Alcohol (6 Botellas 330 cc c/u),$5.790,$ Precio x Un : $965,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/931875a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Dolbek,Cerveza Artesanal Ale Botella,$1.590,$ Precio x L : $4.818,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/769860a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kunstmann,Pack Cerveza Honig Ale Sabor Miel,$6.090,$ Precio x Un : $1.523,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/494678a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Damm,Pack cerveza Estrella Damm botella 330ml,$3.990,$ Precio x Un : $665,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/937889a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Morenita,Cerveza Negra Sabor Malta Tostada,$3.290,$ Precio x Un : $548,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/576802a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kross,Cerveza Ale Fuerte,$3.390,$ Precio x L : $4.520,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/289357a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Cusqueña,Pack Cerveza Golden Lager,$4.890,$ Precio x Un : $815,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/292441a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Royal Guard,Pack Cervezas IPA,$5.490,$ Precio x Un : $915,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/1001064a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Dolbek,Cerveza Artesanal Lager Botella,$1.590,$ Precio x L : $4.818,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/769862a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Kunstmann,Cerveza Lager sin Filtrar,$1.690,$ Precio x L : $5.121,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/276346a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Corona,Pack Cerveza Lager,$3.990,$ Precio x Un : $665,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/831734a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Austral,Cerveza Ruibarbo Botella,$1.490,$ Precio x L : $4.515,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/946483a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Clausthaler,Cerveza sin Alcohol Classic Lata,$1.290,$ Precio x L : $2.580,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/740890a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Clausthaler,Cerveza sin Alcohol Sabor Limón,$1.450,$ Precio x L : $4.394,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/489250a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Mahou,5 Estrellas Sin Gluten,$7.490,$ Precio x Un : $1.248,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/878597a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Hoegaarden,Cerveza Belga de Trigo,$1.250,$ Precio x L : $3.788,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/849190a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
Budweiser,Pack Cerveza Lager,$1.690,$ Precio x L : $3.573,"https://images.lider.cl/wmtcl?set=imageSize[medium],imageURL[file:/productos/829736a.jpg],options[progressive]&call=url[file:catalog/sizing.chain]&sink=format[jpg],options[progressive]"
